,0
11757.G440205261,52955.0
11757.G441424501,52906.0
11757.G441284147,52896.0
11757.G441802014,52893.0
11757.G440981180,52876.0
11757.G440305378,52837.0
11757.G445224035,52822.0
11757.G440883558,52815.0
11757.G441303188,52814.0
11757.G441802284,52814.0
11757.G440305564,52762.0
11757.G440305575,52701.0
11757.G440305106,52682.0
11757.G440282495,52664.0
11757.G440606399,52647.0
11757.G440883486,52624.0
11757.G441303368,52613.0
11757.G440606349,52527.0
11757.G440305297,52493.0
11757.G440981017,52490.0
11757.G441303148,52454.0
11757.G441303111,52431.0
11757.G440305701,52421.0
11757.G440205360,52413.0
11757.G440205554,52411.0
11757.G445302236,52400.0
11757.G440606397,52360.0
11757.G445302357,52346.0
11757.G440305233,52331.0
11757.G440883107,52327.0
11757.G441802013,52327.0
11757.G441802632,52312.0
11757.G440305135,52308.0
11757.G440104017,52282.0
11757.G440205503,52260.0
11757.G445302431,52209.0
11757.G441802447,52190.0
11757.G441284196,52173.0
11757.G440606567,52157.0
11757.G440305428,52156.0
11757.G441502333,52151.0
11757.G441424507,52146.0
11757.G440305739,52116.0
11757.G441284418,52109.0
11757.G440205487,52109.0
11757.G440305093,52099.0
11757.G440606400,52059.0
11757.G445302643,52047.0
11757.G441303359,52035.0
11757.G441303555,52018.0
11757.G441284145,52011.0
11757.G440981528,52004.0
11757.G441502069,51992.0
11757.G440981449,51976.0
11757.G440883525,51959.0
11757.G441802525,51933.0
11757.G441303393,51931.0
11757.G441303537,51917.0
11757.G440981505,51914.0
11757.G445302610,51889.0
11757.G440282581,51858.0
11757.G441303622,51850.0
11757.G440282532,51831.0
11757.G441424540,51792.0
11757.G440981455,51781.0
11757.G441802391,51761.0
11757.G441502506,51751.0
11757.G445224121,51746.0
11757.G445224142,51744.0
11757.G441284540,51720.0
11757.G440606251,51718.0
11757.G440305290,51708.0
11757.G445302056,51688.0
11757.G440282510,51665.0
11757.G440104054,51647.0
11757.G440305696,51637.0
11757.G441284539,51628.0
11757.G440305303,51621.0
11757.G440305153,51617.0
11757.G441502545,51602.0
11757.G441802501,51600.0
11757.G440305515,51571.0
11757.G445302053,51555.0
11757.G445302210,51553.0
11757.G440305192,51523.0
11757.G445302502,51513.0
11757.G440606455,51512.0
11757.G441802440,51508.0
11757.G440104070,51493.0
11757.G445224146,51474.0
11757.G440606381,51466.0
11757.G445302295,51450.0
11757.G440305606,51413.0
11757.G441502100,51406.0
11757.G441502579,51394.0
11757.G440883539,51372.0
11757.G441424284,51364.0
11757.G441284423,51321.0
11757.G440205100,51307.0
11757.G440205308,51297.0
11757.G440205123,51266.0
11757.G440104540,51264.0
11757.G440104539,51250.0
11757.G441284286,51234.0
11757.G440981515,51227.0
11757.G441303140,51218.0
11757.G440305102,51202.0
11757.G441303614,51199.0
11757.G441424333,51183.0
11757.G441424508,51182.0
11757.G440305174,51175.0
11757.G440205011,51172.0
11757.G441502521,51168.0
11757.G440981473,51164.0
11757.G440282129,51164.0
11757.G445302083,51065.0
11757.G441303054,51060.0
11757.G440282002,51057.0
11757.G440883500,51055.0
11757.G440305228,50998.0
11757.G441802012,50994.0
11757.G440205397,50946.0
11757.G440305358,50922.0
11757.G440104528,50912.0
11757.G440305584,50901.0
11757.G445302313,50890.0
11757.G445224516,50874.0
11757.G441303497,50869.0
11757.G441284414,50834.0
11757.G440883528,50812.0
11757.G440104428,50800.0
11757.G441284493,50769.0
11757.G440981506,50749.0
11757.G440883091,50741.0
11757.G440104161,50737.0
11757.G440883177,50717.0
11757.G445224065,50708.0
11757.G440305252,50695.0
11757.G440282573,50678.0
11757.G441802435,50669.0
11757.G445224531,50652.0
11757.G445224409,50643.0
11757.G441424518,50605.0
11757.G441802524,50565.0
11757.G445224131,50564.0
11757.G440282499,50557.0
11757.G441424457,50531.0
11757.G441303559,50522.0
11757.G445302453,50509.0
11757.G440883502,50507.0
11757.G441284263,50496.0
11757.G440606532,50481.0
11757.G440883063,50476.0
11757.G440104043,50472.0
11757.G445302428,50468.0
11757.G445302510,50467.0
11757.G441802636,50465.0
11757.G445302058,50455.0
11757.G441284134,50446.0
11757.G440883182,50440.0
11757.G440883453,50436.0
11757.G441502512,50433.0
11757.G440205488,50432.0
11757.G440606387,50386.0
11757.G441802493,50384.0
11757.G440305271,50383.0
11757.G441802010,50333.0
11757.G440205049,50294.0
11757.G441284373,50287.0
11757.G440305047,50270.0
11757.G440606566,50250.0
11757.G441424502,50238.0
11757.G440883142,50229.0
11757.G440104250,50195.0
11757.G440305472,50179.0
11757.G440606529,50141.0
11757.G440305191,50124.0
11757.G441284610,50101.0
11757.G440981008,50095.0
11757.G441802434,50081.0
11757.G440104086,50079.0
11757.G440883504,50053.0
11757.G440104093,50022.0
11757.G440981073,50014.0
11757.G441284511,50009.0
11757.G441502260,50000.0
11757.G440305675,49994.0
11757.G445302451,49992.0
11757.G441802274,49954.0
11757.G440883593,49950.0
