,0
550.L6S241.s.6.sequence,26820.0
550.L1S293.s.1.sequence,26815.0
550.L6S293.s.6.sequence,26815.0
550.L1S162.s.1.sequence,26802.0
550.L1S278.s.1.sequence,26796.0
550.L1S341.s.1.sequence,26791.0
550.L6S38.s.6.sequence,26786.0
550.L1S224.s.1.sequence,26782.0
550.L4S179.s.4.sequence,26775.0
550.L1S163.s.1.sequence,26768.0
550.L1S283.s.1.sequence,26756.0
550.L6S283.s.6.sequence,26748.0
550.L1S84.s.1.sequence,26731.0
550.L4S21.s.4.sequence,26726.0
550.L6S201.s.6.sequence,26709.0
550.L6S93.s.6.sequence,26705.0
550.L6S267.s.6.sequence,26701.0
550.L6S166.s.6.sequence,26700.0
550.L6S270.s.6.sequence,26699.0
550.L6S29.s.6.sequence,26698.0
550.L1S72.s.1.sequence,26682.0
550.L4S135.s.4.sequence,26677.0
550.L1S368.s.1.sequence,26675.0
550.L1S362.s.1.sequence,26662.0
550.L6S309.s.6.sequence,26632.0
550.L6S92.s.6.sequence,26629.0
550.L1S301.s.1.sequence,26611.0
550.L4S200.s.4.sequence,26608.0
550.L6S94.s.6.sequence,26603.0
550.L4S142.s.4.sequence,26597.0
550.L2S23.s.2.sequence,26584.0
550.L1S25.s.1.sequence,26540.0
550.L6S21.s.6.sequence,26539.0
550.L1S213.s.1.sequence,26537.0
550.L4S201.s.4.sequence,26534.0
550.L1S203.s.1.sequence,26533.0
550.L4S194.s.4.sequence,26526.0
550.L4S100.s.4.sequence,26520.0
550.L4S287.s.4.sequence,26479.0
550.L1S158.s.1.sequence,26472.0
550.L4S204.s.4.sequence,26468.0
550.L1S130.s.1.sequence,26437.0
550.L6S224.s.6.sequence,26432.0
550.L6S64.s.6.sequence,26428.0
550.L1S340.s.1.sequence,26421.0
550.L6S204.s.6.sequence,26389.0
550.L6S15.s.6.sequence,26366.0
550.L6S299.s.6.sequence,26357.0
550.L6S133.s.6.sequence,26351.0
550.L6S156.s.6.sequence,26351.0
550.L6S70.s.6.sequence,26344.0
550.L6S302.s.6.sequence,26336.0
550.L2S25.s.2.sequence,26334.0
550.L6S236.s.6.sequence,26307.0
550.L6S304.s.6.sequence,26304.0
550.L2S93.s.2.sequence,26295.0
550.L6S287.s.6.sequence,26277.0
550.L6S313.s.6.sequence,26276.0
550.L1S343.s.1.sequence,26248.0
550.L6S277.s.6.sequence,26246.0
550.L6S282.s.6.sequence,26239.0
550.L1S184.s.1.sequence,26235.0
550.L6S296.s.6.sequence,26230.0
550.L6S212.s.6.sequence,26226.0
550.L6S61.s.6.sequence,26223.0
550.L4S152.s.4.sequence,26222.0
550.L6S220.s.6.sequence,26205.0
550.L1S342.s.1.sequence,26186.0
550.L4S161.s.4.sequence,26176.0
550.L6S199.s.6.sequence,26173.0
550.L4S218.s.4.sequence,26141.0
550.L1S254.s.1.sequence,26133.0
550.L6S291.s.6.sequence,26130.0
550.L1S33.s.1.sequence,26121.0
550.L4S101.s.4.sequence,26104.0
550.L6S221.s.6.sequence,26097.0
550.L1S37.s.1.sequence,26086.0
550.L1S240.s.1.sequence,26081.0
550.L6S27.s.6.sequence,26056.0
550.L1S215.s.1.sequence,26053.0
550.L6S171.s.6.sequence,26048.0
550.L1S357.s.1.sequence,26042.0
550.L1S76.s.1.sequence,26038.0
550.L2S47.s.2.sequence,26036.0
550.L6S205.s.6.sequence,26030.0
550.L1S105.s.1.sequence,25990.0
550.L1S189.s.1.sequence,25987.0
550.L6S232.s.6.sequence,25977.0
550.L1S346.s.1.sequence,25974.0
550.L4S119.s.4.sequence,25966.0
550.L6S146.s.6.sequence,25953.0
550.L4S273.s.4.sequence,25944.0
550.L6S106.s.6.sequence,25931.0
550.L1S253.s.1.sequence,25928.0
550.L1S264.s.1.sequence,25919.0
550.L4S189.s.4.sequence,25917.0
550.L1S235.s.1.sequence,25902.0
550.L1S106.s.1.sequence,25881.0
550.L1S114.s.1.sequence,25876.0
550.L1S141.s.1.sequence,25868.0
550.L1S323.s.1.sequence,25864.0
550.L6S200.s.6.sequence,25842.0
550.L1S232.s.1.sequence,25835.0
550.L1S135.s.1.sequence,25830.0
550.L6S66.s.6.sequence,25818.0
550.L1S15.s.1.sequence,25817.0
550.L1S221.s.1.sequence,25813.0
550.L1S74.s.1.sequence,25811.0
550.L6S243.s.6.sequence,25795.0
550.L6S230.s.6.sequence,25792.0
550.L1S21.s.1.sequence,25790.0
550.L6S320.s.6.sequence,25783.0
550.L1S317.s.1.sequence,25770.0
550.L1S261.s.1.sequence,25739.0
550.L1S32.s.1.sequence,25738.0
550.L6S248.s.6.sequence,25704.0
550.L1S332.s.1.sequence,25702.0
550.L1S241.s.1.sequence,25702.0
550.L6S10.s.6.sequence,25682.0
550.L6S44.s.6.sequence,25670.0
550.L1S98.s.1.sequence,25662.0
550.L1S10.s.1.sequence,25653.0
550.L1S243.s.1.sequence,25649.0
550.L6S23.s.6.sequence,25644.0
550.L1S204.s.1.sequence,25644.0
550.L2S60.s.2.sequence,25642.0
550.L4S141.s.4.sequence,25634.0
550.L1S259.s.1.sequence,25621.0
550.L1S266.s.1.sequence,25616.0
550.L6S37.s.6.sequence,25601.0
550.L1S73.s.1.sequence,25593.0
550.L1S238.s.1.sequence,25585.0
550.L1S234.s.1.sequence,25555.0
550.L1S87.s.1.sequence,25543.0
550.L2S29.s.2.sequence,25540.0
550.L2S58.s.2.sequence,25518.0
550.L6S19.s.6.sequence,25515.0
550.L6S74.s.6.sequence,25487.0
